bg,DR,vial,Nfemales,Neggs
wD,20p,1,15,444
wD,20p,2,15,408
wD,20p,3,15,468
wD,20p,4,14,316
wD,20p,5,14,344
wD,20p,6,15,329
wD,20p,7,14,419
wD,20p,8,15,281
wD,20p,9,14,441
wD,20p,10,13,405
wD,20p,11,12,382
wD,20p,12,15,471
wD,20p,13,15,484
wD,20p,14,12,382
wD,20p,15,12,388
wD,20p,16,14,352
wD,20p,17,15,276
wD,20p,18,16,488
wD,20p,19,15,402
wD,20p,20,14,431
wD,10p,21,7,167
wD,10p,23,15,235
wD,10p,24,15,224
wD,10p,25,15,283
wD,10p,26,15,251
wD,10p,27,15,223
wD,10p,28,15,254
wD,10p,29,15,290
wD,10p,30,15,293
wD,10p,31,14,320
wD,10p,32,15,281
wD,10p,33,14,315
wD,10p,34,15,305
wD,10p,35,15,275
wD,10p,36,15,231
wD,10p,37,15,216
wD,10p,38,15,299
wD,10p,39,15,325
wD,10p,40,15,233
wD,5p,41,15,105
wD,5p,42,15,55
wD,5p,43,15,99
wD,5p,44,15,92
wD,5p,45,14,107
wD,5p,46,15,94
wD,5p,47,15,97
wD,5p,48,15,77
wD,5p,49,14,70
wD,5p,50,15,114
wD,5p,51,15,87
wD,5p,52,14,67
wD,5p,53,15,97
wD,5p,54,15,122
wD,5p,55,15,129
wD,5p,56,15,106
wD,5p,57,15,73
wD,5p,58,15,91
wD,5p,59,14,69
wD,5p,60,15,96
