DGRP,time,event,censor,tray
DGRP-426,0,0,1,1
DGRP-426,0.197222222,0,1,1
DGRP-426,0.983333333,0,1,1
DGRP-426,1.196527778,0,1,1
DGRP-426,1.995138889,3,1,1
DGRP-426,2.197916667,1,1,1
DGRP-426,3.008333333,52,1,1
DGRP-426,3.215972222,11,1,1
DGRP-426,3.988194444,5,1,1
DGRP-426,4.195138889,0,1,1
DGRP-426,5.023611111,0,1,1
DGRP-426,5.197916667,0,1,1
DGRP-426,6.01875,0,1,1
DGRP-426,6.19375,0,1,1
DGRP-93,0,0,1,1
DGRP-93,0.197222222,0,1,1
DGRP-93,0.983333333,0,1,1
DGRP-93,1.196527778,0,1,1
DGRP-93,1.995138889,4,1,1
DGRP-93,2.197916667,2,1,1
DGRP-93,3.008333333,35,1,1
DGRP-93,3.215972222,7,1,1
DGRP-93,3.988194444,52,1,1
DGRP-93,4.195138889,19,1,1
DGRP-93,5.023611111,23,1,1
DGRP-93,5.197916667,3,1,1
DGRP-93,6.01875,3,1,1
DGRP-93,6.19375,0,1,1
DGRP-437,0,0,1,1
DGRP-437,0.197222222,0,1,1
DGRP-437,0.983333333,0,1,1
DGRP-437,1.196527778,0,1,1
DGRP-437,1.995138889,3,1,1
DGRP-437,2.197916667,7,1,1
DGRP-437,3.008333333,57,1,1
DGRP-437,3.215972222,18,1,1
DGRP-437,3.988194444,45,1,1
DGRP-437,4.195138889,10,1,1
DGRP-437,5.023611111,5,1,1
DGRP-437,5.197916667,0,1,1
DGRP-437,6.01875,1,1,1
DGRP-437,6.19375,0,1,1
DGRP-324,0,0,1,1
DGRP-324,0.197222222,0,1,1
DGRP-324,0.983333333,0,1,1
DGRP-324,1.196527778,0,1,1
DGRP-324,1.995138889,53,1,1
DGRP-324,2.197916667,45,1,1
DGRP-324,3.008333333,49,1,1
DGRP-324,3.215972222,3,1,1
DGRP-324,3.988194444,0,1,1
DGRP-324,4.195138889,0,1,1
DGRP-324,5.023611111,0,1,1
DGRP-324,5.197916667,0,1,1
DGRP-324,6.01875,0,1,1
DGRP-324,6.19375,0,1,1
DGRP-380,0,0,1,1
DGRP-380,0.197222222,0,1,1
DGRP-380,0.983333333,1,1,1
DGRP-380,1.196527778,16,1,1
DGRP-380,1.995138889,127,1,1
DGRP-380,2.197916667,1,1,1
DGRP-380,3.008333333,1,1,1
DGRP-380,3.215972222,0,1,1
DGRP-380,3.988194444,0,1,1
DGRP-380,4.195138889,0,1,1
DGRP-380,5.023611111,0,1,1
DGRP-380,5.197916667,0,1,1
DGRP-380,6.01875,0,1,1
DGRP-380,6.19375,0,1,1
DGRP-280,0,0,1,1
DGRP-280,0.197222222,0,1,1
DGRP-280,0.983333333,0,1,1
DGRP-280,1.196527778,0,1,1
DGRP-280,1.995138889,27,1,1
DGRP-280,2.197916667,18,1,1
DGRP-280,3.008333333,75,1,1
DGRP-280,3.215972222,9,1,1
DGRP-280,3.988194444,23,1,1
DGRP-280,4.195138889,0,1,1
DGRP-280,5.023611111,0,1,1
DGRP-280,5.197916667,0,1,1
DGRP-280,6.01875,0,1,1
DGRP-280,6.19375,0,1,1
DGRP-383,0,0,1,1
DGRP-383,0.197222222,0,1,1
DGRP-383,0.983333333,1,1,1
DGRP-383,1.196527778,0,1,1
DGRP-383,1.995138889,1,1,1
DGRP-383,2.197916667,5,1,1
DGRP-383,3.008333333,41,1,1
DGRP-383,3.215972222,14,1,1
DGRP-383,3.988194444,78,1,1
DGRP-383,4.195138889,9,1,1
DGRP-383,5.023611111,0,1,1
DGRP-383,5.197916667,0,1,1
DGRP-383,6.01875,0,1,1
DGRP-383,6.19375,0,1,1
DGRP-136,0,0,1,1
DGRP-136,0.197222222,0,1,1
DGRP-136,0.983333333,2,1,1
DGRP-136,1.196527778,1,1,1
DGRP-136,1.995138889,1,1,1
DGRP-136,2.197916667,1,1,1
DGRP-136,3.008333333,10,1,1
DGRP-136,3.215972222,8,1,1
DGRP-136,3.988194444,75,1,1
DGRP-136,4.195138889,8,1,1
DGRP-136,5.023611111,31,1,1
DGRP-136,5.197916667,1,1,1
DGRP-136,6.01875,2,1,1
DGRP-136,6.19375,0,1,1
DGRP-189,0,0,1,1
DGRP-189,0.197222222,0,1,1
DGRP-189,0.983333333,0,1,1
DGRP-189,1.196527778,0,1,1
DGRP-189,1.995138889,3,1,1
DGRP-189,2.197916667,4,1,1
DGRP-189,3.008333333,34,1,1
DGRP-189,3.215972222,4,1,1
DGRP-189,3.988194444,58,1,1
DGRP-189,4.195138889,8,1,1
DGRP-189,5.023611111,34,1,1
DGRP-189,5.197916667,3,1,1
DGRP-189,6.01875,5,1,1
DGRP-189,6.19375,1,1,1
DGRP-426,0,0,0,1
DGRP-426,0.197222222,0,0,1
DGRP-426,0.983333333,0,0,1
DGRP-426,1.196527778,0,0,1
DGRP-426,1.995138889,0,0,1
DGRP-426,2.197916667,0,0,1
DGRP-426,3.008333333,0,0,1
DGRP-426,3.215972222,0,0,1
DGRP-426,3.988194444,0,0,1
DGRP-426,4.195138889,0,0,1
DGRP-426,5.023611111,0,0,1
DGRP-426,5.197916667,0,0,1
DGRP-426,6.01875,0,0,1
DGRP-426,6.19375,0,0,1
DGRP-93,0,0,0,1
DGRP-93,0.197222222,0,0,1
DGRP-93,0.983333333,0,0,1
DGRP-93,1.196527778,0,0,1
DGRP-93,1.995138889,0,0,1
DGRP-93,2.197916667,0,0,1
DGRP-93,3.008333333,0,0,1
DGRP-93,3.215972222,0,0,1
DGRP-93,3.988194444,0,0,1
DGRP-93,4.195138889,0,0,1
DGRP-93,5.023611111,0,0,1
