Bxed,geno,diet,time,event,censor,rep
yes,wD,5p,2,1,1,1
yes,wD,5p,5,0,1,1
yes,wD,5p,7,0,1,1
yes,wD,5p,9,0,1,1
yes,wD,5p,12,0,1,1
yes,wD,5p,14,0,1,1
yes,wD,5p,16,1,1,1
yes,wD,5p,19,0,1,1
yes,wD,5p,21,0,1,1
yes,wD,5p,23,2,1,1
yes,wD,5p,26,0,1,1
yes,wD,5p,28,0,1,1
yes,wD,5p,30,0,1,1
yes,wD,5p,33,0,1,1
yes,wD,5p,35,0,1,1
yes,wD,5p,37,3,1,1
yes,wD,5p,40,3,1,1
yes,wD,5p,42,4,1,1
yes,wD,5p,44,3,1,1
yes,wD,5p,47,11,1,1
yes,wD,5p,49,12,1,1
yes,wD,5p,51,14,1,1
yes,wD,5p,54,26,1,1
yes,wD,5p,56,16,1,1
yes,wD,5p,58,15,1,1
yes,wD,5p,61,12,1,1
yes,wD,5p,63,4,1,1
yes,wD,5p,65,8,1,1
yes,wD,5p,68,6,1,1
yes,wD,5p,70,2,1,1
yes,wD,5p,72,0,1,1
yes,wD,5p,75,2,1,1
yes,wD,5p,77,0,1,1
yes,wD,5p,79,0,1,1
yes,wD,5p,82,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,5p,84,0,1,1
yes,wD,10p,2,0,1,1
yes,wD,10p,5,0,1,1
yes,wD,10p,7,0,1,1
yes,wD,10p,9,0,1,1
yes,wD,10p,12,0,1,1
yes,wD,10p,14,0,1,1
yes,wD,10p,16,0,1,1
yes,wD,10p,19,0,1,1
yes,wD,10p,21,0,1,1
yes,wD,10p,23,0,1,1
yes,wD,10p,26,0,1,1
yes,wD,10p,28,0,1,1
yes,wD,10p,30,0,1,1
yes,wD,10p,33,3,1,1
yes,wD,10p,35,0,1,1
yes,wD,10p,37,2,1,1
yes,wD,10p,40,7,1,1
yes,wD,10p,42,3,1,1
yes,wD,10p,44,3,1,1
yes,wD,10p,47,16,1,1
yes,wD,10p,49,7,1,1
yes,wD,10p,51,15,1,1
yes,wD,10p,54,13,1,1
yes,wD,10p,56,16,1,1
yes,wD,10p,58,10,1,1
yes,wD,10p,61,10,1,1
yes,wD,10p,63,4,1,1
yes,wD,10p,65,10,1,1
yes,wD,10p,68,0,1,1
yes,wD,10p,70,0,1,1
yes,wD,10p,72,2,1,1
yes,wD,10p,75,0,1,1
yes,wD,10p,77,0,1,1
yes,wD,10p,79,1,1,1
yes,wD,10p,82,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
yes,wD,10p,84,0,1,1
